"country.of.origin","harvest.year","variety","processing.method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean.cup","sweetness","cupper.points","moisture","color","altitude_mean_meters","quality"
"Mexico","2012","Typica","Semi-washed / Semi-pulped",7.33,7.33,7.25,7.5,7.5,7.5,10,10,10,7.42,0.12,"Green",1250,"bad"
"Guatemala","2017","Bourbon","Washed / Wet",7.5,7.5,7.25,7.42,7.42,7.33,10,10,10,7.33,0.11,"Green",1700,"bad"
"Vietnam","2014","Caturra","Washed / Wet",7,7.08,7.33,7.5,7.5,7.33,10,10,10,8,0.12,"Bluish-Green",1040,"bad"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.42,7.42,7.42,7.42,7.33,7.33,10,10,10,7.42,0.12,"Bluish-Green",1600,"bad"
"Mexico","2012","Bourbon","Washed / Wet",7.5,7.5,7.33,7.42,7.25,7.25,10,10,10,7.5,0.13,"None",774,"bad"
"Mexico","2012","Other","Washed / Wet",7.42,7.5,7.17,7.67,7.33,7.42,10,10,10,7.25,0.13,"Green",1250,"bad"
"Mexico","2012","Typica","Washed / Wet",7.42,7.5,7.33,7.58,7.33,7.33,10,10,10,7.25,0.11,"Green",1100,"bad"
"Mexico","2012","Caturra","Washed / Wet",7.33,7.42,7.33,7.67,7.42,7.25,10,10,10,7.33,0.12,"Green",1550,"bad"
"Colombia","2011","Caturra","Washed / Wet",7.33,7.42,7.33,7.33,7.5,7.67,10,10,10,7.17,0,"Green",1750,"bad"
"Brazil","2018","Bourbon","Natural / Dry",7.42,7.5,7.25,7.5,7.5,7.25,10,10,10,7.25,0.11,"Green",890,"bad"
"Guatemala","2017","Bourbon","Washed / Wet",7.42,7.42,7.08,7.42,7.33,7.42,10,10,10,7.58,0.1,"Green",1700,"bad"
"Guatemala","2017","Bourbon","Washed / Wet",7.42,7.33,7.17,7.67,7.33,7.42,10,10,10,7.33,0.12,"Green",1219.2,"bad"
"Honduras","2016","Catuai","Washed / Wet",7.58,7.5,7.33,7.33,7.42,7.25,10,10,10,7.25,0.11,"Blue-Green",1450,"bad"
"Brazil","2016","Other","Natural / Dry",7.25,7.75,6.92,7.42,7.5,7.58,10,10,10,7.25,0,"Green",1,"bad"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.42,7.33,7.25,7.42,7.5,7.42,10,10,10,7.33,0.12,"Green",1500,"bad"
"Tanzania, United Republic Of","2013","Other","Washed / Wet",7.33,7.33,7.5,7.25,7.42,7.33,10,10,10,7.5,0.12,"Green",1700,"bad"
"Brazil","2015","Bourbon","Washed / Wet",7.25,7.42,7.25,7.5,7.5,7.42,10,10,10,7.33,0.1,"Green",1260,"bad"
"Honduras","2014","Caturra","Natural / Dry",7.5,7.33,7.5,7.5,7.17,7.17,10,10,10,7.5,0.1,"Green",1400,"bad"
"Costa Rica","2013","Caturra","Washed / Wet",7.5,7.17,7.17,7.17,7.5,7.08,10,10,10,8.08,0.11,"Green",1850,"bad"
"Taiwan","2014","Typica","Semi-washed / Semi-pulped",7.5,7.5,7.5,7.25,7.42,7.25,10,10,10,7.25,0.11,"Green",150,"bad"
"Taiwan","2014","Typica","Washed / Wet",7.58,7.42,7.33,7.42,7.33,7.33,10,10,10,7.25,0.11,"Green",750,"bad"
"Mexico","2013","Typica","Washed / Wet",7.5,7.42,7.08,7.58,7.33,7.33,10,10,10,7.42,0.12,"Green",1400,"bad"
"Guatemala","2012","Bourbon","Washed / Wet",7.5,7.67,7.33,7.33,7.33,7.33,10,10,10,7.17,0.11,"Green",1752.6,"bad"
"Mexico","2012","Typica","Washed / Wet",7.25,7.67,7.58,7.67,7.67,7.58,8.67,10,10,7.58,0.13,"Green",1650,"bad"
"Mexico","2012","Bourbon","Washed / Wet",7.67,7.25,7.17,7.75,7.5,7.25,10,10,10,7.08,0.11,"Green",1400,"bad"
"Mexico","2012","Bourbon","Washed / Wet",7.5,7.42,7.33,7.42,7.42,7.42,10,10,10,7.17,0.11,"Green",1200,"bad"
"Mexico","2012","Bourbon","Washed / Wet",7.58,7.42,7.25,7.58,7.25,7.17,10,10,10,7.42,0.11,"Green",1400,"bad"
"Mexico","2012","Caturra","Semi-washed / Semi-pulped",7.75,7.58,7.25,7.17,7.58,7.33,9.33,10,10,7.67,0.11,"Green",940,"bad"
"Honduras","2018","Other","Washed / Wet",7.5,7.42,7.08,7.42,7.5,7.33,10,10,10,7.33,0.11,"Blue-Green",1200,"bad"
"Taiwan","2016","Typica","Washed / Wet",7.42,7.42,7.25,7.67,7.33,7.25,10,10,10,7.25,0.1,"Blue-Green",800,"bad"
"Costa Rica","2015","Caturra","Washed / Wet",7.58,7.42,7.5,7.17,7.08,7.58,10,10,10,7.25,0.12,"Green",13,"bad"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.42,7.42,7.33,7.42,7.42,7.33,10,10,10,7.25,0.12,"Green",1800,"bad"
"Malawi","2014","Other","Washed / Wet",7.42,7.42,7.17,7.58,7.33,7.33,10,10,10,7.33,0.13,"Green",1100,"bad"
"Brazil","2014","Other","Washed / Wet",7.42,7.42,7.33,7.33,7.5,7.25,10,10,10,7.33,0.12,"Blue-Green",1260,"bad"
"Guatemala","2013","Bourbon","Washed / Wet",7.42,7.33,7.17,7.58,7.42,7.5,10,10,10,7.17,0.12,"Green",1310.64,"bad"
"Mexico","2013","Typica","Washed / Wet",7.67,7.5,7.42,7.5,6.75,7.42,10,10,10,7.33,0.12,"Green",1400,"bad"
"Guatemala","2017","Bourbon","Washed / Wet",7.67,7.58,7.17,7.42,7.33,7.42,9.33,10,10,7.58,0.1,"Green",1219.2,"bad"
"Nicaragua","2017","Caturra","Other",7.5,7.42,7.33,7.33,7.25,7.33,10,10,10,7.33,0.11,"Green",1100,"bad"
"Honduras","2017","Caturra","Washed / Wet",7.5,7.5,7.33,7.42,7.17,7.25,10,10,10,7.33,0.1,"Green",1400,"bad"
"Taiwan","2015","Typica","Natural / Dry",7.5,7.42,7.33,7.08,7.58,7.25,10,10,10,7.33,0.12,"Green",180,"bad"
"Myanmar","2015","Catuai","Washed / Wet",7.25,7.42,7.25,7.5,7.33,7.33,10,10,10,7.42,0,"Green",1219.2,"bad"
"Costa Rica","2014","Caturra","Washed / Wet",7.83,7.33,7.08,7.08,7.33,7.5,10,10,10,7.33,0.12,"Green",1200,"bad"
"Malawi","2014","Other","Washed / Wet",7.67,7.42,6.92,7.5,7.5,7.17,10,10,10,7.33,0.12,"Green",1599,"bad"
"Guatemala","2014","Other","Washed / Wet",7.5,7.42,7.17,7.58,7.25,7.42,10,10,10,7.17,0.12,"Green",1219.2,"bad"
"Taiwan","2014","Typica","Washed / Wet",7.42,7.33,7.67,7.33,7.42,7.5,10,10,9.33,7.5,0.11,"Blue-Green",900,"bad"
"Brazil","2014","Other","Semi-washed / Semi-pulped",7.58,7.5,7.5,7.67,7.67,7.83,9.33,9.33,9.33,7.75,0,"Green",1200,"bad"
"Haiti","2013","Other","Washed / Wet",7.42,7.33,7.25,7.42,7.42,7.33,10,10,10,7.33,0.11,"Bluish-Green",825,"bad"
"Taiwan","2014","Typica","Other",7.5,7.42,7.25,7.25,7.33,7.33,10,10,10,7.42,0.11,"Green",600,"bad"
"Mexico","2013","Typica","Washed / Wet",7.33,7.33,7.17,7.42,7.5,7.5,10,10,10,7.25,0.13,"Green",1150,"bad"
"Mexico","2012","Typica","Washed / Wet",7.58,7.42,7.25,7.42,7.33,7.33,10,10,10,7.17,0.12,"Green",1600,"bad"
"Mexico","2012","Catuai","Washed / Wet",7.42,7.25,7.17,7.42,7.17,8,10,10,10,7.08,0.12,"Green",1100,"bad"
"Mexico","2012","Typica","Semi-washed / Semi-pulped",7.33,7.5,7.33,7.33,7.33,7.42,10,10,10,7.25,0.11,"Green",1000,"bad"
"Mexico","2012","Bourbon","Washed / Wet",7.42,7.42,7.33,7.17,7.25,7.42,10,10,10,7.5,0.13,"Green",1250,"bad"
"Mexico","2012","Typica","Natural / Dry",7.5,7.5,7.25,7.5,7.42,7.58,9.33,10,10,7.42,0.11,"Green",1100,"bad"
"Indonesia","2012","Other","Washed / Wet",7.75,7.17,7.17,7.33,7.58,7.33,10,10,10,7.17,0.12,"Green",1400,"bad"
"Brazil","2012","Bourbon","Semi-washed / Semi-pulped",7.5,7.42,7.17,7.42,7.5,7.33,10,10,10,7.17,0.12,"Blue-Green",125,"bad"
"Mexico","2017","Other","Washed / Wet",7.58,7.33,7.08,7.33,7.5,7.33,10,10,10,7.25,0.12,"Green",1100,"bad"
"Guatemala","2016","Catuai","Washed / Wet",7.42,7.33,7.08,7.58,7.33,7.25,10,10,10,7.42,0.1,"Green",1371.6,"bad"
"Brazil","2016","Catuai","Natural / Dry",7.33,7.5,7.5,7.33,6.83,7.42,10,10,10,7.5,0.11,"Green",1100,"bad"
"Honduras","2015","Catuai","Washed / Wet",7.5,7.33,7.17,7.25,7.5,7.42,10,10,10,7.25,0.12,"Green",1400,"bad"
"Taiwan","2014","Typica","Washed / Wet",7.83,7.75,7.42,7.17,7.08,7.08,10,10,10,7.08,0.12,"Green",110,"bad"
"Malawi","2014","Other","Washed / Wet",7.58,7.17,7.33,7.42,7.08,7.42,10,10,10,7.42,0.12,"Bluish-Green",1422,"bad"
"Brazil","2015","Bourbon","Natural / Dry",7.25,7.5,7.42,7.17,7.33,7.33,10,10,10,7.42,0,"Green",1100,"bad"
"Guatemala","2014","Bourbon","Washed / Wet",7.42,7.5,7.17,7.42,7.42,7.42,10,10,10,7.08,0.1,"Green",1550,"bad"
"Mexico","2014","Typica","Washed / Wet",7.67,7.33,7.25,7.17,7.25,7.42,10,10,10,7.33,0,"Green",1550,"bad"
"Guatemala","2013","Bourbon","Washed / Wet",7.42,7.33,7.25,7.42,7.42,7.5,10,10,10,7.08,0.12,"Green",1310.64,"bad"
"Mexico","2012","Caturra","Washed / Wet",7.42,7.33,7.25,7.17,7.25,7.42,10,10,10,7.58,0.13,"None",763,"bad"
"Colombia","2011","Caturra","Natural / Dry",7.5,7.42,7.25,7.17,7.17,7.75,10,10,10,7.17,0.11,"Green",1750,"bad"
"Honduras","2017","Caturra","Washed / Wet",7.5,7.5,7,7.17,7.5,7.33,10,10,10,7.33,0.11,"Bluish-Green",1500,"bad"
"Brazil","2016","Catuai","Natural / Dry",7.25,7.33,7.33,7.33,7.33,7.42,10,10,10,7.33,0.11,"Green",1100,"bad"
"Honduras","2015","Catuai","Washed / Wet",7.58,7.42,7.17,7.42,7.17,7.17,10,10,10,7.42,0.09,"Green",1350,"bad"
"Brazil","2015","Other","Other",7.17,7.33,7.42,7.25,7.42,7.33,10,10,10,7.42,0.12,"Green",1200,"bad"
"Philippines","2014","Other","Washed / Wet",7.08,7.33,7.42,7.33,7.33,7.5,10,10,10,7.33,0.14,"Green",1400,"bad"
"Malawi","2014","Other","Washed / Wet",7.75,7.33,7.08,7.33,7.33,7.25,10,10,10,7.25,0.13,"Green",1200,"bad"
"Honduras","2014","Catuai","Washed / Wet",7.33,7.33,7.17,7.33,7.5,7.33,10,10,10,7.33,0.12,"Green",1450,"bad"
"Mexico","2012","Typica","Washed / Wet",7.58,7.42,7.25,7.33,7.25,7.25,10,10,10,7.25,0.13,"Green",1800,"bad"
"Mexico","2012","Typica","Washed / Wet",7.33,7.25,7.17,7.42,7.58,7.33,10,10,10,7.25,0.12,"None",1000,"bad"
"Taiwan","2015","Typica","Natural / Dry",7.83,7.75,7.67,7.83,7.83,7.75,9.33,10,10,5.25,0.12,"Green",680,"bad"
"Brazil","2016","Other","Natural / Dry",7.17,7.42,7.17,7.08,6.92,8.17,10,10,10,7.33,0,"Green",1,"bad"
"Nicaragua","2015","Catuai","Washed / Wet",7.08,7.5,7.33,7.17,7.42,7.25,10,10,10,7.5,0.1,"Green",1100,"bad"
"Honduras","2015","Catuai","Washed / Wet",7.42,7.17,7.17,7.5,7.33,7.25,10,10,10,7.42,0.12,"Green",1400,"bad"
"Guatemala","2014","Other","Washed / Wet",7.33,7.42,7.17,7.25,7.42,7.33,10,10,10,7.33,0.09,"Bluish-Green",1700,"bad"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.33,7.17,7.17,7.5,7.25,7.42,10,10,10,7.42,0.13,"Green",1700,"bad"
"Taiwan","2014","Typica","Semi-washed / Semi-pulped",7.5,7.5,7.25,7.25,7.25,7.25,10,10,10,7.25,0.11,"Green",650,"bad"
"Guatemala","2013","Caturra","Washed / Wet",7.5,7.33,7.5,7.58,7,7.25,10,10,10,7.08,0.11,"Green",1524,"bad"
"Mexico","2012","Typica","Washed / Wet",7.42,7.42,7.33,7.33,7.5,7.42,9.33,10,10,7.5,0.12,"Green",1500,"bad"
"Tanzania, United Republic Of","2016","Bourbon","Washed / Wet",7.67,7.17,7.17,7.33,7.5,7.17,10,10,10,7.17,0.12,"Green",1050,"bad"
"Mexico","2015","Caturra","Washed / Wet",7.75,7.58,7.08,7.25,7.08,7.25,10,10,10,7.17,0.12,"Green",1200,"bad"
"Costa Rica","2015","Caturra","Washed / Wet",7.5,7.5,7.33,7.17,7.08,7.17,10,10,10,7.42,0.11,"Bluish-Green",1300,"bad"
"Honduras","2015","Catuai","Natural / Dry",7.42,7.33,7,7.42,7.33,7.33,10,10,10,7.33,0.13,"Green",1450,"bad"
"Thailand","2014","Caturra","Washed / Wet",6.83,7.42,7.42,7.17,7.5,7.42,10,10,10,7.42,0.12,"Blue-Green",1450,"bad"
"Philippines","2014","Typica","Natural / Dry",7.25,7.25,7.25,7.08,7.58,7.5,10,10,10,7.25,0,"None",1200,"bad"
"Tanzania, United Republic Of","2014","Bourbon","Washed / Wet",7.58,7.17,7.17,7.33,7.33,7.25,10,10,10,7.33,0.12,"Bluish-Green",1550,"bad"
"Malawi","2014","Caturra","Washed / Wet",7.58,7.25,7.33,7.08,7.33,7.33,10,10,10,7.25,0.12,"Green",995,"bad"
"Costa Rica","2014","Catuai","Washed / Wet",7.33,7.08,7.33,7.25,7.33,7.58,10,10,10,7.25,0.11,"Green",1300,"bad"
"Mexico","2012","Typica","Natural / Dry",7.42,7.25,7.08,7.75,7.42,7.17,10,10,10,7.08,0.13,"Green",1800,"bad"
"Guatemala","2012","Caturra","Washed / Wet",7.42,7.25,7.33,7.25,7.25,7.42,10,10,10,7.25,0.12,"Green",1450,"bad"
"Brazil","2012","Other","Natural / Dry",7.42,7.33,7.25,7.42,7.5,7.17,10,10,10,7.08,0.12,"Green",1000,"bad"
"Brazil","2016","Other","Natural / Dry",7.58,7.42,7.5,7.25,7.75,7.58,9.33,10,9.33,7.33,0.11,"Green",695,"bad"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.42,7.33,7.33,7.25,7.25,7.33,10,10,10,7.17,0.13,"Green",1456,"bad"
"Costa Rica","2014","Caturra","Washed / Wet",7.42,7.25,7.17,7.25,7.25,7.58,10,10,10,7.17,0.13,"Green",1500,"bad"
"United States (Puerto Rico)","2013","Other","Washed / Wet",7.67,7.75,7.67,7.58,7.58,7.67,6.67,10,10,8.5,0,"Green",853.44,"bad"
"Mexico","2012","Typica","Washed / Wet",7.25,7.42,7.33,7.33,7.17,7.33,10,10,10,7.25,0.13,"None",1650,"bad"
"Mexico","2012","Typica","Washed / Wet",7.33,7.25,7.33,7.42,7.25,7.42,10,10,10,7.08,0.12,"Green",1300,"bad"
"Mexico","2012","Typica","Washed / Wet",7.33,7.33,7.25,7.42,7.25,7.25,10,10,10,7.25,0.11,"Green",1642,"bad"
"Mexico","2012","Typica","Washed / Wet",7.42,7.33,7.25,7.42,7.17,7.25,10,10,10,7.25,0.1,"Green",1200,"bad"
"El Salvador","2017","Bourbon","Washed / Wet",7.42,7.08,7.08,7.33,7.25,7.58,10,10,10,7.25,0,"Green",1450,"bad"
"Guatemala","2016","Bourbon","Washed / Wet",7.42,7.25,7.17,7.5,7.25,7.17,10,10,10,7.25,0.09,"Green",3280,"bad"
"Colombia","2016","Caturra","Washed / Wet",7.67,7.5,7.42,5.25,7.67,7.75,10,10,10,7.75,0,"Green",1600,"bad"
"Guatemala","2015","Bourbon","Washed / Wet",7.5,7.25,7,7.25,7.5,7.25,10,10,10,7.25,0.11,"Green",1219.2,"bad"
"Taiwan","2015","Typica","Washed / Wet",7.25,7.17,7.17,7.25,7.5,7.33,10,10,10,7.33,0.12,"Bluish-Green",758,"bad"
"Honduras","2014","Caturra","Natural / Dry",7.42,7.25,7.25,7.33,7.25,7.17,10,10,10,7.33,0.12,"Green",1350,"bad"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.33,7.33,7.08,7.42,7.17,7.33,10,10,10,7.33,0.12,"Green",1525,"bad"
"Uganda","2013","Other","Natural / Dry",7.33,6.92,7.17,7.33,7.42,7.42,10,10,10,7.42,0.12,"Green",1700,"bad"
"Taiwan","2014","Typica","Semi-washed / Semi-pulped",7.5,6.92,7.33,7.33,7.33,7.33,10,10,10,7.25,0.11,"Green",1100,"bad"
"Mexico","2012","Other","Washed / Wet",7.08,7.33,7.33,7.33,7.42,7.25,10,10,10,7.25,0.12,"Green",950,"bad"
"Mexico","2012","Typica","Washed / Wet",7.58,7.67,7.5,7.67,7.58,7.5,8,10,10,7.5,0,"Green",1100,"bad"
"Taiwan","2017","Other","Washed / Wet",7.33,7.17,7.25,7.33,7.33,7.25,10,10,10,7.25,0,"Blue-Green",200,"bad"
"Guatemala","2017","Bourbon","Washed / Wet",7.67,7.67,7.33,7.58,7.67,7.5,9.33,9.33,9.33,7.5,0.1,"Green",1901,"bad"
"Kenya","2017","Other","Washed / Wet",7.17,7.58,7.5,7.5,8,7.75,10,10,10,5.42,0.11,"Green",1600,"bad"
"Mexico","2017","Bourbon","Washed / Wet",7.5,7.33,7.17,7.42,7.5,7.33,9.33,10,10,7.33,0.11,"Green",1100,"bad"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.33,7.17,7.17,7.25,7.42,7.33,10,10,10,7.25,0.12,"Green",1700,"bad"
"Brazil","2015","Other","Natural / Dry",7.25,7.33,7.25,7.25,7.25,7.33,10,10,10,7.25,0.12,"Green",1200,"bad"
"Taiwan","2014","Typica","Washed / Wet",7.92,7.67,7.33,7.08,7.08,7.08,10,10,10,6.75,0.09,"Green",550,"bad"
"Brazil","2015","Bourbon","Natural / Dry",7.17,7.42,7.17,7.25,7.25,7.33,10,10,10,7.33,0.1,"None",1100,"bad"
"Nicaragua","2013","Caturra","Washed / Wet",7.33,7.08,7.25,7,7.5,7.42,10,10,10,7.33,0.1,"Green",1050,"bad"
"Guatemala","2014","Other","Washed / Wet",7.58,7.42,6.92,7.5,7.25,7.17,10,10,10,7.08,0.12,"Green",1524,"bad"
"Taiwan","2014","Typica","Other",7.25,7.17,7.08,7.08,7.08,8.08,10,10,10,7.17,0.11,"Green",688,"bad"
"Taiwan","2014","Typica","Washed / Wet",7.42,7.25,7.25,7.25,7.25,7.25,10,10,10,7.25,0.11,"Green",300,"bad"
"Mexico","2012","Typica","Washed / Wet",7.58,7.33,7.08,7.5,7.17,7.25,10,10,10,7,0.13,"Green",1186,"bad"
"Laos","2016","Other","Washed / Wet",7.42,7.33,7.17,7.17,7.17,7.25,10,10,10,7.33,0,"Green",1300,"bad"
"Guatemala","2013","Caturra","Washed / Wet",7.67,7.25,7.08,7.33,7.17,7.25,10,10,10,7.08,0.11,"Green",1200,"bad"
"Mexico","2012","Catuai","Semi-washed / Semi-pulped",7.17,7.08,7.25,7.42,7.25,7.33,10,10,10,7.33,0.13,"Green",1210,"bad"
"Mexico","2012","Typica","Washed / Wet",7.33,7.25,7.33,7.33,7.25,7.17,10,10,10,7.17,0.11,"Green",1100,"bad"
"Mexico","2012","Bourbon","Washed / Wet",7.5,7.17,7.33,7.25,7.17,7.17,10,10,10,7.25,0.13,"Green",100,"bad"
"Myanmar","2015","Catuai","Washed / Wet",6.92,7.5,7,7.58,7.5,7.08,10,10,10,7.17,0,"Green",3825,"bad"
"Guatemala","2015","Caturra","Washed / Wet",7.5,7.33,7,7.42,7.17,7.17,10,10,10,7.17,0.12,"Green",1706.88,"bad"
"Honduras","2015","Caturra","Natural / Dry",7.5,7.33,7,7.42,7.25,7.17,10,10,10,7.08,0.11,"Green",1450,"bad"
"Panama","2014","Caturra","Other",7.25,7.33,7.17,7.33,7.33,7.17,10,10,10,7.17,0.11,"Green",1680,"bad"
"Honduras","2015","Catuai","Washed / Wet",7.42,7.17,7.08,7.42,7.25,7.25,10,10,10,7.17,0.09,"Green",1350,"bad"
"Honduras","2015","Catuai","Natural / Dry",7.25,7.33,7.08,7.5,7.25,7.33,10,10,10,7,0.13,"Green",1450,"bad"
"Costa Rica","2014","Caturra","Washed / Wet",7.33,7.33,7.25,7.25,7.17,7.17,10,10,10,7.25,0.11,"Green",1300,"bad"
"Mexico","2012","Typica","Washed / Wet",7.58,7.33,7.42,7.25,7.5,7.5,9.33,9.33,10,7.5,0.11,"Green",1200,"bad"
"Haiti","2012","Typica","Washed / Wet",7.42,7,7.42,7.25,7.08,7.33,10,10,10,7.25,0.12,"Green",1000,"bad"
"Indonesia","2015","Other","Semi-washed / Semi-pulped",7.58,7.42,7,7.67,7.5,7.5,9.33,9.33,10,7.33,0.13,"Blue-Green",1350,"bad"
"Guatemala","2016","Bourbon","Washed / Wet",7.67,7.42,6.83,7.17,7.42,7.17,10,10,10,7,0.11,"Green",1500,"bad"
"Costa Rica","2015","Caturra","Washed / Wet",7.83,7.5,7.67,7.67,7.83,7.5,6.67,10,10,8,0.11,"Blue-Green",185,"bad"
"Malawi","2014","Caturra","Washed / Wet",7.5,7.25,7.17,7.17,7.25,7.17,10,10,10,7.17,0.12,"Bluish-Green",995,"bad"
"Mexico","2014","Typica","Washed / Wet",7.25,7.17,7.17,7.25,7.17,7.42,10,10,10,7.25,0.12,"Green",1200,"bad"
"Guatemala","2013","Bourbon","Washed / Wet",7.67,7.17,7,7.5,7,7,10,10,10,7.33,0.12,"Green",1550,"bad"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.25,7.08,7.08,7.33,7.33,7.25,10,10,10,7.25,0.12,"Bluish-Green",1400,"bad"
"Brazil","2015","Bourbon","Semi-washed / Semi-pulped",7.42,7.25,7.33,7,7.08,7.25,10,10,10,7.25,0,"Green",1200,"bad"
"Honduras","2014","Caturra","Washed / Wet",7.5,7.17,7,7.42,7.33,7,10,10,10,7.17,0.11,"Green",1400,"bad"
"Guatemala","2014","Bourbon","Natural / Dry",7.17,7.42,6.83,7.5,7.17,7.25,10,10,10,7.25,0.11,"Green",1383.792,"bad"
"Taiwan","2017","Other","Natural / Dry",7.17,7.17,7.17,7.42,7.17,7.25,10,10,10,7.17,0,"Blue-Green",50,"bad"
"Guatemala","2017","Caturra","Washed / Wet",7.33,7.25,7.08,7.17,7.25,7.17,10,10,10,7.25,0.1,"Green",1500,"bad"
"Honduras","2017","Catuai","Washed / Wet",7.58,7.33,7,7.17,7.33,7.08,10,10,10,7,0.11,"Green",1650,"bad"
"Brazil","2016","Other","Semi-washed / Semi-pulped",7.25,7.33,7.17,7.5,7.33,7.25,9.33,10,10,7.33,0.11,"Green",1250,"bad"
"Myanmar","2015","Other","Washed / Wet",7.17,7.33,7.17,7.42,7.25,7.08,10,10,10,7.08,0,"Green",3800,"bad"
"Guatemala","2014","Other","Washed / Wet",7.5,7.17,6.83,7.5,7.17,7.17,10,10,10,7.17,0.11,"Green",1219.2,"bad"
"Brazil","2013","Other","Semi-washed / Semi-pulped",7.42,7.42,7.08,7.33,7.67,7.5,9.33,9.33,10,7.42,0.1,"None",1250,"bad"
"Guatemala","2013","Bourbon","Washed / Wet",7.5,7.5,7,7.67,7.17,7,10,10,10,6.67,0.12,"Green",1859.28,"bad"
"Mexico","2012","Typica","Washed / Wet",7.25,7.25,7.08,7.33,7.25,7.17,10,10,10,7.17,0.15,"None",1450,"bad"
"Taiwan","2014","Typica","Washed / Wet",7.58,7.17,7.17,7.17,7.17,7.17,10,10,10,7,0.14,"Green",600,"bad"
"El Salvador","2013","Bourbon","Washed / Wet",7.33,7.17,7.08,7.08,7.33,7.17,10,10,10,7.25,0,"Green",1450,"bad"
"China","2013","Other","Washed / Wet",7.25,7.08,7.25,7.17,7.33,7.17,10,10,10,7.17,0.17,"Green",1700,"bad"
"Taiwan","2014","Typica","Washed / Wet",7.25,7.25,7.17,7.25,7.25,7.25,10,10,10,7,0.11,"Green",600,"bad"
"Mexico","2012","Typica","Washed / Wet",6.92,7.17,7.08,7.5,7.33,7.17,10,10,10,7.25,0.1,"Green",1050,"bad"
"Mexico","2012","Caturra","Washed / Wet",7.42,7.08,7.08,7.33,7.25,7.17,10,10,10,7.08,0.12,"Green",1550,"bad"
"Tanzania, United Republic Of","2016","Bourbon","Washed / Wet",7.25,7.17,7,7.25,7.42,7.08,10,10,10,7.17,0.13,"Green",1700,"bad"
"Taiwan","2014","Other","Other",7.25,7.25,7.08,7.25,7.25,7.25,10,10,10,7,0.11,"Green",600,"bad"
"Guatemala","2013","Bourbon","Washed / Wet",7.33,7.33,6.83,7.5,7,7.17,10,10,10,7.17,0.11,"Green",1310.64,"bad"
"Mexico","2012","Typica","Semi-washed / Semi-pulped",7.25,7.08,7.08,7.33,7.33,7.17,10,10,10,7.08,0.11,"Green",940,"bad"
"Brazil","2018","Catuai","Natural / Dry",7.17,7.33,7.42,7.08,7,7,10,10,10,7.25,0.11,"Green",995,"bad"
"Honduras","2016","Caturra","Natural / Dry",7.25,7.25,7,7,7.42,7,10,10,10,7.33,0.1,"Green",1400,"bad"
"Mexico","2016","Caturra","Washed / Wet",7.25,7.17,7,7.33,7.33,7,10,10,10,7.17,0.1,"Green",1600,"bad"
"Myanmar","2015","Other","Natural / Dry",8,7.08,7,7.33,7.08,6.92,10,10,10,6.83,0.11,"Green",914.4,"bad"
"Myanmar","2014","Catuai","Natural / Dry",7.42,7,7.08,7,7.17,7.33,10,10,10,7.25,0,"Green",4287,"bad"
"Nicaragua","2015","Caturra","Washed / Wet",7.08,6.92,7,7.25,7.5,7.25,10,10,10,7.25,0.11,"Green",900,"bad"
"Taiwan","2014","Typica","Semi-washed / Semi-pulped",7.25,7.08,7.25,7.25,7.17,7.25,10,10,10,7,0.11,"Green",700,"bad"
"Guatemala","2012","Caturra","Washed / Wet",7,7.17,7.33,7.33,7,7.17,10,10,10,7.25,0.11,"Green",1400,"bad"
"Mexico","2012","Caturra","Washed / Wet",7.58,7.33,7.17,7.25,6.75,7,10,10,10,7.17,0.11,"None",808,"bad"
"Honduras","2015","Catuai","Washed / Wet",7.25,7.25,7,7.17,7.08,7.08,10,10,10,7.33,0.11,"Green",1400,"bad"
"Guatemala","2013","Bourbon","Washed / Wet",7.33,7.33,7,7.17,7.17,7.17,10,10,10,7,0.11,"Green",1310.64,"bad"
"Mexico","2012","Typica","Washed / Wet",7.33,7.08,6.92,7.42,7.25,7.08,10,10,10,7.08,0.11,"Green",1250,"bad"
"Mexico","2012","Typica","Washed / Wet",7.58,7.42,7.33,7.5,7.08,7.17,8.67,10,10,7.42,0.14,"Green",1550,"bad"
"Mexico","2012","Bourbon","Washed / Wet",7.33,7.33,7.17,7.08,7.25,7,10,10,10,7,0.12,"Green",1000,"bad"
"Guatemala","2012","Bourbon","Washed / Wet",7.33,7.33,7,7.33,7,7,10,10,10,7.17,0.11,"Green",1310.64,"bad"
"Brazil","2018","Bourbon","Pulped natural / honey",7.17,7.17,7,7.17,7.25,7.25,10,10,10,7.08,0.11,"Green",1100,"bad"
"Taiwan","2014","Typica","Washed / Wet",7.42,7.25,7.25,7.17,7,7,10,10,10,7,0.07,"Green",850,"bad"
"Taiwan","2014","Typica","Other",7.25,7.25,7.25,7.25,7.08,7,10,10,10,7,0.11,"Green",200,"bad"
